City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
43,Rikitea,PF,-23.12,-134.97,73.02,77,14,17.67,few clouds
44,Nanortalik,GL,60.14,-45.24,25.5,96,100,27.27,light snow
45,Ciudad Bolivar,VE,8.12,-63.55,77.85,87,100,2.93,overcast clouds
46,Viedma,AR,-40.81,-63.0,60.01,81,78,8.14,light rain
47,Mataura,NZ,-46.19,168.86,55.0,73,87,7.0,overcast clouds
48,Nikolskoye,RU,59.7,30.79,37.99,86,75,8.95,broken clouds
49,Ridgecrest,US,35.62,-117.67,42.01,40,14,1.99,few clouds
50,Avarua,CK,-21.21,-159.78,75.2,78,99,6.93,overcast clouds
51,Mayna,RU,54.11,47.62,32.16,94,44,14.12,scattered clouds
52,Boyolangu,ID,-8.12,111.89,86.41,63,94,10.47,overcast clouds
53,Albany,US,42.6,-73.97,46.99,100,1,2.53,clear sky
54,Champerico,GT,14.3,-91.92,69.01,97,38,2.84,light rain
55,Constitucion,CL,-35.33,-72.42,54.1,73,48,7.02,scattered clouds
56,Maragogi,BR,-9.01,-35.22,76.1,88,24,11.9,few clouds
57,Carnarvon,AU,-24.87,113.63,77.0,53,40,18.34,scattered clouds
58,Luganville,VU,-15.53,167.17,78.8,94,90,8.05,overcast clouds
59,Salalah,OM,17.02,54.09,82.4,48,0,1.12,clear sky
60,Bethel,US,41.37,-73.41,48.99,93,1,1.92,clear sky
61,Eyl,SO,7.98,49.82,84.6,57,1,20.07,clear sky
62,San Quintin,MX,30.48,-115.95,61.72,63,36,20.29,scattered clouds
63,Bunda,TZ,-2.05,33.87,69.8,88,40,5.1,scattered clouds
64,Talnakh,RU,69.49,88.4,26.6,86,40,15.66,light snow
65,Atuona,PF,-9.8,-139.03,77.65,67,42,12.71,scattered clouds
66,Cherskiy,RU,68.75,161.3,2.05,94,99,3.78,overcast clouds
67,Chokurdakh,RU,70.63,147.92,-14.03,91,98,2.98,overcast clouds
68,Mahebourg,MU,-20.41,57.7,75.2,83,75,11.41,shower rain
69,Alice Springs,AU,-23.7,133.88,102.2,10,13,12.75,"sand,dust whirls"
70,Mattru,SL,7.62,-11.83,72.46,98,24,1.52,few clouds
71,Norrtalje,SE,59.76,18.7,52.0,90,95,5.01,overcast clouds
72,Jesus,PY,-27.05,-55.78,67.41,88,75,2.46,broken clouds
73,Byron Bay,AU,-28.65,153.62,70.0,60,75,17.22,light rain
74,San Miguel,SV,13.48,-88.18,72.82,94,99,1.25,overcast clouds
75,Thinadhoo,MV,0.53,72.93,84.42,71,100,10.09,light rain
76,Qaanaaq,GL,77.48,-69.36,-7.91,71,0,7.87,clear sky
77,Fraserburgh,GB,57.69,-2.02,48.99,100,100,5.01,overcast clouds
78,Lorengau,PG,-2.02,147.27,84.09,70,47,2.95,light rain
79,Vestmannaeyjar,IS,63.44,-20.27,44.49,84,100,27.81,overcast clouds
80,Tual,ID,-5.67,132.75,84.38,71,100,12.84,overcast clouds
81,Hecun,CN,36.53,114.11,64.87,24,5,6.8,clear sky
82,Ribeira Grande,PT,38.52,-28.7,61.57,68,86,17.36,overcast clouds
83,Katsuura,JP,35.13,140.3,62.6,45,75,3.36,broken clouds
84,Hobart,AU,-42.88,147.33,79.0,40,0,16.11,clear sky
85,Pisco,PE,-13.7,-76.22,60.8,93,79,4.7,broken clouds
86,Dikson,RU,73.51,80.55,0.99,93,96,14.25,overcast clouds
87,Aldan,RU,58.6,125.39,2.68,90,12,3.18,few clouds
88,Provideniya,RU,64.38,-173.3,33.8,86,90,8.23,light snow
89,Cayenne,GF,4.93,-52.33,75.2,100,6,11.81,clear sky
90,Kapaa,US,22.08,-159.32,78.8,74,75,16.11,broken clouds
91,Ushuaia,AR,-54.8,-68.3,39.2,94,75,17.22,broken clouds
92,Flin Flon,CA,54.77,-101.86,12.2,95,100,17.72,snow
93,Bredasdorp,ZA,-34.53,20.04,53.6,66,28,8.05,scattered clouds
94,Ponta Do Sol,PT,32.67,-17.1,64.4,63,20,10.29,few clouds
95,Kutum,SD,14.2,24.67,65.73,35,17,8.86,few clouds
96,Labuhan,ID,-6.88,112.21,92.28,45,98,4.25,overcast clouds
97,Gat,IL,31.61,34.76,62.01,87,20,3.36,few clouds
98,Avera,US,33.19,-82.53,68.0,86,90,6.93,overcast clouds
99,Grand Baie,MU,-20.02,57.58,79.0,70,7,11.99,clear sky
100,Vilyuysk,RU,63.76,121.62,-1.23,90,13,5.39,few clouds
101,Tarakan,ID,3.3,117.63,85.33,67,83,1.5,broken clouds
102,Port Alfred,ZA,-33.59,26.89,61.68,83,100,17.2,light rain
