City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
395,Mogadishu,SO,81.39,scattered clouds,2.04,45.34,Hotel Juba
397,Issenye,TZ,75.34,broken clouds,-2.0,34.33,
401,Saint-Joseph,RE,78.8,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
405,Bac Lieu,VN,85.69,broken clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
406,Tautira,PF,78.8,broken clouds,-17.73,-149.15,Pension Oaoa
409,Adrar,MR,76.46,broken clouds,20.5,-10.07,
416,Singaraja,ID,87.37,overcast clouds,-8.11,115.09,Puri Bagus Lovina Resort
418,Soe,ID,87.76,overcast clouds,-9.86,124.28,Dena Hotel
419,Road Town,VG,80.6,broken clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
422,Suba,PH,82.81,clear sky,10.84,121.01,Casita Bed and Grill
424,Kaoma,ZM,86.43,few clouds,-14.78,24.8,KAOMA AIRPORT
425,Port-Gentil,GA,77.0,scattered clouds,-0.72,8.78,Fengshui Residence
431,Sa Kaeo,TH,82.65,scattered clouds,13.75,102.33,บ้านร่มฉัตร รีสอร์ท
433,Tsaratanana,MG,82.89,broken clouds,-16.78,47.65,
435,Sinor,IN,80.6,haze,21.92,73.33,Reva Forest Homestay
439,Keti Bandar,PK,86.49,clear sky,24.14,67.45,Haji laloo memon house
449,Jati,PK,88.92,clear sky,24.35,68.27,
450,Qandala,SO,81.27,broken clouds,11.47,49.87,
456,Ende,ID,89.22,overcast clouds,-8.84,121.66,Dwi Putra Hotel - Ende
460,Marawi,PH,84.0,few clouds,8.0,124.29,Derogongan Residence
462,Grand Gaube,MU,79.0,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
467,Noumea,NC,77.0,broken clouds,-22.28,166.46,Hôtel Le Lagon
468,Gorontalo,ID,88.34,scattered clouds,0.54,123.06,Maqna Hotel by Prasanthi
471,Key Largo,US,78.01,heavy intensity rain,25.09,-80.45,Bayside Inn Key Largo
474,Santa Cruz,BO,75.2,smoke,-17.8,-63.17,Hotel Cortez
479,Lazaro Cardenas,MX,75.45,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
487,Port Augusta,AU,90.0,overcast clouds,-32.5,137.77,Majestic Oasis Apartments
492,El Rosario,MX,77.0,few clouds,24.26,-107.18,Mi casa
493,Mapastepec,MX,75.65,few clouds,15.43,-92.9,Hotel San Carlos
497,Manggar,ID,85.23,overcast clouds,-2.88,108.27,Guest Hotel
499,Bushehr,IR,80.6,clear sky,28.97,50.84,Yas Hotel
500,Porto Novo,BJ,78.8,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
510,Madang,PG,85.06,overcast clouds,-5.22,145.8,Comfort Inn Hotel
512,Iberia,US,80.6,broken clouds,29.95,-91.75,back to back rv park
514,Voh,NC,75.43,few clouds,-20.97,164.7,Le gîte du Koniambo
517,Dingle,PH,85.48,overcast clouds,11.0,122.67,SEGAYA PROPERTY
518,Maur,IN,84.74,clear sky,30.08,75.25,sanju tee sotall
520,Vung Tau,VN,84.2,broken clouds,10.35,107.08,Seaside Resort
522,La Cruz,MX,75.0,clear sky,23.92,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
526,Sundarnagar,IN,77.41,clear sky,31.53,76.88,OYO 35436 Suket Valley Guest House
528,Nokaneng,BW,83.25,broken clouds,-19.67,22.27,
530,Gigmoto,PH,85.01,overcast clouds,13.78,124.39,Cj's Travellers Inn
531,Weligama,LK,85.41,clear sky,5.97,80.42,Weligama Bay Resort
534,Praia,CV,77.0,clear sky,14.92,-23.51,LT Aparthotel
536,Atmakur,IN,82.51,clear sky,15.88,78.58,Mee seva atk
541,Bairiki,KI,84.2,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
543,Kabo,CF,75.81,broken clouds,7.7,18.63,
545,Sabang,ID,81.75,overcast clouds,5.89,95.32,Hotel Citra
555,Labuan,MY,87.8,scattered clouds,5.28,115.24,Tiara Labuan Hotel
563,Araouane,ML,75.11,clear sky,18.9,-3.53,
569,Tura,IN,81.61,clear sky,25.52,90.22,Hotel RIKMAN Continental
576,Kiunga,PG,82.87,moderate rain,-6.12,141.29,Airport Lodge Kiunga
585,Lakatoro,VU,78.8,overcast clouds,-16.1,167.42,Lakatoro Palm Lodge
587,Akyab,MM,86.63,clear sky,20.15,92.9,Hotel Memory
592,Saint-Paul,RE,82.4,clear sky,-21.01,55.27,Boucan Canot
593,Biak,ID,85.05,scattered clouds,-0.91,122.88,Kost Ariz
596,Mount Gambier,AU,84.2,overcast clouds,-37.83,140.77,Commodore on the Park
601,Nouakchott,MR,81.55,few clouds,18.09,-15.98,Hôtel Iman
605,Belawan,ID,82.4,light rain,3.78,98.68,Lilik Hidayat Pulungan
607,Pemangkat,ID,83.5,overcast clouds,1.17,108.97,Kost H.Syamsuddin
608,Micheweni,TZ,81.21,moderate rain,-4.97,39.83,
611,Oistins,BB,80.6,shower rain,13.07,-59.53,Butterfly Beach Hotel
614,Lagos,NG,76.05,broken clouds,6.58,3.75,
